bar,side,vov,th,calib
0,L,3,7,0.844309
0,R,3,7,1.27379
1,L,3,7,0.94199
1,R,3,7,0.882363
2,L,3,7,0.945173
2,R,3,7,0.878227
3,L,3,7,1.15369
3,R,3,7,0.794756
4,L,3,7,0.999672
4,R,3,7,1.08496
5,L,3,7,0.916404
5,R,3,7,0.961257
6,L,3,7,0.888712
6,R,3,7,1.14312
7,L,3,7,1.10759
7,R,3,7,0.993599
8,L,3,7,1.02368
8,R,3,7,0.91399
9,L,3,7,0.973877
9,R,3,7,0.898327
10,L,3,7,1.05734
10,R,3,7,0.901278
11,L,3,7,1.24084
11,R,3,7,0.939074
12,L,3,7,1.14606
12,R,3,7,0.916513
13,L,3,7,1.01399
13,R,3,7,1.03727
14,L,3,7,1.14831
14,R,3,7,1.40573
15,L,3,7,1.01767
15,R,3,7,1.07272
0,L,3,8,0.844084
0,R,3,8,1.27735
1,L,3,8,0.942685
1,R,3,8,0.882048
2,L,3,8,0.945349
2,R,3,8,0.879298
3,L,3,8,1.15445
3,R,3,8,0.795756
4,L,3,8,1.00034
4,R,3,8,1.08535
5,L,3,8,0.916423
5,R,3,8,0.960765
6,L,3,8,0.888858
6,R,3,8,1.14545
7,L,3,8,1.1094
7,R,3,8,0.99442
8,L,3,8,1.02523
8,R,3,8,0.91614
9,L,3,8,0.972775
9,R,3,8,0.896739
10,L,3,8,1.0572
10,R,3,8,0.902149
11,L,3,8,1.23997
11,R,3,8,0.939029
12,L,3,8,1.14501
12,R,3,8,0.914493
13,L,3,8,1.01353
13,R,3,8,1.03762
14,L,3,8,1.14685
14,R,3,8,1.40394
15,L,3,8,1.0151
15,R,3,8,1.06878
0,L,3,9,0.843927
0,R,3,9,1.27859
1,L,3,9,0.943798
1,R,3,9,0.882837
2,L,3,9,0.946873
2,R,3,9,0.880326
3,L,3,9,1.15616
3,R,3,9,0.794246
4,L,3,9,0.998869
4,R,3,9,1.08512
5,L,3,9,0.917117
5,R,3,9,0.962948
6,L,3,9,0.888224
6,R,3,9,1.14387
7,L,3,9,1.10629
7,R,3,9,0.992471
8,L,3,9,1.02687
8,R,3,9,0.918806
9,L,3,9,0.974689
9,R,3,9,0.89783
10,L,3,9,1.05734
10,R,3,9,0.901851
11,L,3,9,1.23921
11,R,3,9,0.936811
12,L,3,9,1.1432
12,R,3,9,0.913571
13,L,3,9,1.01219
13,R,3,9,1.03731
14,L,3,9,1.14409
14,R,3,9,1.4008
15,L,3,9,1.01682
15,R,3,9,1.07088
0,L,3,10,0.844916
0,R,3,10,1.28081
1,L,3,10,0.942837
1,R,3,10,0.88096
