bar,side,vov,th,calib
0,L,3.0,10,1.2393396516103077
0,R,3.0,10,0.8108698919718154
1,L,3.0,10,1.0682272782941957
1,R,3.0,10,0.7563700722170393
2,L,3.0,10,0.973241420001472
2,R,3.0,10,0.8504056093528959
3,L,3.0,10,1.4125759254456438
3,R,3.0,10,1.0137157538665196
4,L,3.0,10,0.941205105055671
4,R,3.0,10,0.992391450080032
5,L,3.0,10,1.027235210887141
5,R,3.0,10,0.9116502054585032
6,L,3.0,10,1.723171857286684
6,R,3.0,10,0.9121419172221892
7,L,3.0,10,1.1905209457167107
7,R,3.0,10,0.7884327948545816
8,L,3.0,10,1.0898914937168733
8,R,3.0,10,0.8165848878648574
9,L,3.0,10,1.2395112971818802
9,R,3.0,10,0.899899922371883
10,L,3.0,10,1.3494894818490972
10,R,3.0,10,0.8871172703489308
11,L,3.0,10,1.3970195973602346
11,R,3.0,10,0.6736214273921599
12,L,3.0,10,0.9013976376659986
12,R,3.0,10,0.9834769238873319
13,L,3.0,10,0.9307256395061974
13,R,3.0,10,0.958887698109905
14,L,3.0,10,1.330146192490155
14,R,3.0,10,0.9209659949467475
15,L,3.0,10,1.2564103410395528
15,R,3.0,10,1.0565302789587707
