bar,side,vov,th,calib
0,L,3.0,10,1.2055334292487616
0,R,3.0,10,0.809727698449098
1,L,3.0,10,1.0356424513283626
1,R,3.0,10,0.760334701383403
2,L,3.0,10,0.9565832038451536
2,R,3.0,10,0.8708780142914829
3,L,3.0,10,1.363897499780979
3,R,3.0,10,1.016340425747249
4,L,3.0,10,0.931396390036499
4,R,3.0,10,1.0061996195905463
5,L,3.0,10,1.0654147789679997
5,R,3.0,10,0.9594504285335467
6,L,3.0,10,1.6483289040058375
6,R,3.0,10,0.9061985518962238
7,L,3.0,10,1.182186859034094
7,R,3.0,10,0.7972805433580356
8,L,3.0,10,1.0788231157418104
8,R,3.0,10,0.8707533477046315
9,L,3.0,10,1.2438810129838123
9,R,3.0,10,0.9457846100671027
10,L,3.0,10,1.320618018107015
10,R,3.0,10,0.9199149447363107
11,L,3.0,10,1.3707977516576706
11,R,3.0,10,0.6797585861645976
12,L,3.0,10,0.8678543095675058
12,R,3.0,10,0.9621843157823299
13,L,3.0,10,0.9213291944171429
13,R,3.0,10,0.9852676856518319
14,L,3.0,10,1.3082281028942888
14,R,3.0,10,0.9476389066293908
15,L,3.0,10,1.2164128843180007
15,R,3.0,10,1.0308400451732087
