bar,side,vov,th,calib
0,L,3,7,0.833553
0,R,3,7,1.28579
1,L,3,7,0.955168
1,R,3,7,0.892941
2,L,3,7,0.962349
2,R,3,7,0.896054
3,L,3,7,1.20822
3,R,3,7,0.814196
4,L,3,7,1.02134
4,R,3,7,1.1137
5,L,3,7,0.940451
5,R,3,7,1.00032
6,L,3,7,0.873282
6,R,3,7,1.2104
7,L,3,7,1.09268
7,R,3,7,1.01337
8,L,3,7,1.03646
8,R,3,7,0.907601
9,L,3,7,0.990899
9,R,3,7,0.907429
10,L,3,7,1.06637
10,R,3,7,0.901976
11,L,3,7,1.24073
11,R,3,7,0.93529
12,L,3,7,1.1259
12,R,3,7,0.884573
13,L,3,7,0.977797
13,R,3,7,0.978656
14,L,3,7,1.12473
14,R,3,7,1.31091
15,L,3,7,0.984618
15,R,3,7,0.998697
0,L,3,8,0.833332
0,R,3,8,1.28938
1,L,3,8,0.955872
1,R,3,8,0.892622
2,L,3,8,0.962527
2,R,3,8,0.897146
3,L,3,8,1.20901
3,R,3,8,0.81522
4,L,3,8,1.02202
4,R,3,8,1.1141
5,L,3,8,0.940472
5,R,3,8,0.99981
6,L,3,8,0.873425
6,R,3,8,1.21287
7,L,3,8,1.09447
7,R,3,8,1.01421
8,L,3,8,1.03803
8,R,3,8,0.909736
9,L,3,8,0.989778
9,R,3,8,0.905825
10,L,3,8,1.06623
10,R,3,8,0.902848
11,L,3,8,1.23986
11,R,3,8,0.935246
12,L,3,8,1.12486
12,R,3,8,0.882623
13,L,3,8,0.977353
13,R,3,8,0.978988
14,L,3,8,1.1233
14,R,3,8,1.30923
15,L,3,8,0.98213
15,R,3,8,0.995037
0,L,3,9,0.833177
0,R,3,9,1.29063
1,L,3,9,0.957
1,R,3,9,0.89342
2,L,3,9,0.964079
2,R,3,9,0.898195
3,L,3,9,1.2108
3,R,3,9,0.813673
4,L,3,9,1.02052
4,R,3,9,1.11386
5,L,3,9,0.941183
5,R,3,9,1.00208
6,L,3,9,0.872802
6,R,3,9,1.21119
7,L,3,9,1.09139
7,R,3,9,1.01222
8,L,3,9,1.03969
8,R,3,9,0.912383
9,L,3,9,0.991725
9,R,3,9,0.906927
10,L,3,9,1.06637
10,R,3,9,0.902551
11,L,3,9,1.2391
11,R,3,9,0.933037
12,L,3,9,1.12308
12,R,3,9,0.881733
13,L,3,9,0.976061
13,R,3,9,0.978696
14,L,3,9,1.12059
14,R,3,9,1.30631
15,L,3,9,0.983791
15,R,3,9,0.996992
0,L,3,10,0.834152
0,R,3,10,1.29287
1,L,3,10,0.956027
1,R,3,10,0.891521
2,L,3,10,0.959908
2,R,3,10,0.895793
3,L,3,10,1.20756
3,R,3,10,0.81497
4,L,3,10,1.02003
4,R,3,10,1.11304
5,L,3,10,0.94111
5,R,3,10,1.00105
6,L,3,10,0.873245
6,R,3,10,1.21403
7,L,3,10,1.0926
7,R,3,10,1.01245
8,L,3,10,1.03921
8,R,3,10,0.911736
9,L,3,10,0.990612
9,R,3,10,0.906608
10,L,3,10,1.06866
10,R,3,10,0.904291
11,L,3,10,1.23929
11,R,3,10,0.933559
12,L,3,10,1.12482
12,R,3,10,0.88294
13,L,3,10,0.976867
13,R,3,10,0.976528
14,L,3,10,1.11971
14,R,3,10,1.30293
15,L,3,10,0.986422
15,R,3,10,1.00029
0,L,3,11,0.831911
0,R,3,11,1.29251
1,L,3,11,0.953615
1,R,3,11,0.891865
2,L,3,11,0.96226
2,R,3,11,0.896672
3,L,3,11,1.21006
3,R,3,11,0.814728
4,L,3,11,1.0214
4,R,3,11,1.11529
5,L,3,11,0.940659
5,R,3,11,1.00014
6,L,3,11,0.873927
6,R,3,11,1.21177
7,L,3,11,1.09274
7,R,3,11,1.0121
8,L,3,11,1.03733
8,R,3,11,0.910003
9,L,3,11,0.990096
9,R,3,11,0.907071
10,L,3,11,1.06951
10,R,3,11,0.904915
11,L,3,11,1.24059
11,R,3,11,0.935421
12,L,3,11,1.12404
12,R,3,11,0.882565
13,L,3,11,0.976641
13,R,3,11,0.978809
14,L,3,11,1.12224
14,R,3,11,1.30944
15,L,3,11,0.982361
15,R,3,11,0.996745
0,L,3,12,0.8353
0,R,3,12,1.29316
1,L,3,12,0.951424
1,R,3,12,0.889333
2,L,3,12,0.963555
2,R,3,12,0.898073
3,L,3,12,1.21082
3,R,3,12,0.815623
4,L,3,12,1.02329
4,R,3,12,1.11631
5,L,3,12,0.939244
5,R,3,12,0.999831
6,L,3,12,0.873101
6,R,3,12,1.21013
7,L,3,12,1.09305
7,R,3,12,1.01091
8,L,3,12,1.03783
8,R,3,12,0.911098
9,L,3,12,0.989765
9,R,3,12,0.905636
10,L,3,12,1.06711
10,R,3,12,0.902571
11,L,3,12,1.24101
11,R,3,12,0.934489
12,L,3,12,1.124
12,R,3,12,0.88155
13,L,3,12,0.977967
13,R,3,12,0.979937
14,L,3,12,1.12148
14,R,3,12,1.30714
15,L,3,12,0.984544
15,R,3,12,0.999
0,L,3,13,0.834939
0,R,3,13,1.29136
1,L,3,13,0.957541
1,R,3,13,0.893756
2,L,3,13,0.96083
2,R,3,13,0.896078
3,L,3,13,1.21008
3,R,3,13,0.816
4,L,3,13,1.02081
4,R,3,13,1.11307
5,L,3,13,0.940292
5,R,3,13,1.00002
6,L,3,13,0.872564
6,R,3,13,1.20857
7,L,3,13,1.091
7,R,3,13,1.012
8,L,3,13,1.03729
8,R,3,13,0.908993
9,L,3,13,0.990372
9,R,3,13,0.907089
10,L,3,13,1.06526
10,R,3,13,0.901488
11,L,3,13,1.23984
11,R,3,13,0.93401
12,L,3,13,1.12299
12,R,3,13,0.88251
13,L,3,13,0.97929
13,R,3,13,0.980881
14,L,3,13,1.1235
14,R,3,13,1.30904
15,L,3,13,0.983496
15,R,3,13,1.00018
0,L,3,18,0.833084
0,R,3,18,1.28902
1,L,3,18,0.956143
1,R,3,18,0.894227
2,L,3,18,0.962294
2,R,3,18,0.897244
3,L,3,18,1.20997
3,R,3,18,0.814747
4,L,3,18,1.0209
4,R,3,18,1.11514
5,L,3,18,0.93955
5,R,3,18,0.9997
6,L,3,18,0.871506
6,R,3,18,1.20918
7,L,3,18,1.09268
7,R,3,18,1.01006
8,L,3,18,1.03664
8,R,3,18,0.910607
9,L,3,18,0.990093
9,R,3,18,0.90713
10,L,3,18,1.06759
10,R,3,18,0.902945
11,L,3,18,1.2392
11,R,3,18,0.934812
12,L,3,18,1.12529
12,R,3,18,0.882638
13,L,3,18,0.978418
13,R,3,18,0.979766
14,L,3,18,1.12227
14,R,3,18,1.30693
15,L,3,18,0.98597
15,R,3,18,0.99928
0,L,3,25,0.833473
0,R,3,25,1.29143
1,L,3,25,0.955823
1,R,3,25,0.892258
2,L,3,25,0.962724
2,R,3,25,0.896587
3,L,3,25,1.20873
3,R,3,25,0.814885
4,L,3,25,1.02014
4,R,3,25,1.11404
5,L,3,25,0.938532
5,R,3,25,0.998525
6,L,3,25,0.873279
6,R,3,25,1.21328
7,L,3,25,1.09116
7,R,3,25,1.01175
8,L,3,25,1.03813
8,R,3,25,0.910864
9,L,3,25,0.989501
9,R,3,25,0.904303
10,L,3,25,1.06751
10,R,3,25,0.903576
11,L,3,25,1.24112
11,R,3,25,0.935204
12,L,3,25,1.12489
12,R,3,25,0.883681
13,L,3,25,0.977827
13,R,3,25,0.981217
14,L,3,25,1.12244
14,R,3,25,1.30707
15,L,3,25,0.98494
15,R,3,25,0.998422
0,L,3,32,0.832386
0,R,3,32,1.28883
1,L,3,32,0.951818
1,R,3,32,0.889722
2,L,3,32,0.961437
2,R,3,32,0.897015
3,L,3,32,1.21116
3,R,3,32,0.816526
4,L,3,32,1.01905
4,R,3,32,1.11527
5,L,3,32,0.94056
5,R,3,32,1.00011
6,L,3,32,0.873322
6,R,3,32,1.21382
7,L,3,32,1.09228
7,R,3,32,1.01323
8,L,3,32,1.0365
8,R,3,32,0.910135
9,L,3,32,0.991722
9,R,3,32,0.906877
10,L,3,32,1.066
10,R,3,32,0.903593
11,L,3,32,1.24047
11,R,3,32,0.934213
12,L,3,32,1.12462
12,R,3,32,0.884957
13,L,3,32,0.976428
13,R,3,32,0.976911
14,L,3,32,1.12286
14,R,3,32,1.31228
15,L,3,32,0.986722
15,R,3,32,0.998447
0,L,3,40,0.820793
0,R,3,40,1.27075
3,L,3,40,1.18931
3,R,3,40,0.802314
5,L,3,40,0.927114
5,R,3,40,0.984534
8,L,3,40,1.02291
8,R,3,40,0.895895
11,L,3,40,1.22084
11,R,3,40,0.920296
12,L,3,40,1.10712
12,R,3,40,0.869669
13,L,3,40,0.961588
13,R,3,40,0.964857
14,L,3,40,1.10284
14,R,3,40,1.28628
