# bar  side  diff_mean
0  L  -3.46242
0  R  8.05658
1  L  2.34697
1  R  -0.288831
2  L  0.883386
2  R  -2.62718
3  L  6.04669
3  R  -0.467936
4  L  4.59499
4  R  5.8217
5  L  -0.234377
5  R  1.77032
6  L  -1.11886
6  R  6.96726
7  L  5.30123
7  R  3.33943
8  L  4.35493
8  R  -1.85681
9  L  3.49556
9  R  -0.917556
10  L  4.77357
10  R  -1.51171
11  L  5.09521
11  R  -0.464621
12  L  7.86732
12  R  -0.858907
13  L  4.78206
13  R  5.06816
14  L  11.5559
14  R  5.08117
15  L  7.78932
15  R  11.8454
