# bar  side  diff_mean
0  L  -1.12212
0  R  -0.768996
1  L  -0.828629
1  R  -1.18926
2  L  -0.886703
2  R  -1.14638
3  L  -0.625735
3  R  -1.24082
4  L  -0.75553
4  R  -0.720306
5  L  -0.868525
5  R  -0.910253
6  L  -1.01502
6  R  -0.668504
7  L  -0.769317
7  R  -0.893053
8  L  -0.721734
8  R  -1.03438
9  L  -0.882862
9  R  -1.18674
10  L  -0.74003
10  R  -1.20048
11  L  -0.662336
11  R  -1.08641
12  L  -0.735629
12  R  -1.38992
13  L  -0.933125
13  R  -1.06342
14  L  -0.815955
14  R  -0.722635
15  L  -1.23512
15  R  -1.1664
