bar,side,calib
0,L,1.0139084738727577
0,R,0.9896835333569818
1,L,0.9871830064807187
1,R,0.9871737084755634
2,L,0.9831276123871606
2,R,0.9791332731715366
3,L,0.9558197202698966
3,R,0.975155788243526
4,L,0.9797579364428628
4,R,0.9732299598539585
5,L,0.9753965414698668
5,R,0.9599936569105221
6,L,1.018678530303258
6,R,0.9434814754964249
7,L,1.0146552398859225
7,R,0.979515911766189
8,L,0.9886504387983476
8,R,1.00604041599779
9,L,0.9837967861226641
9,R,0.9889862481385748
10,L,0.992518995954253
10,R,0.9982337356617278
11,L,1.0010821549726807
11,R,1.0030491334021676
12,L,1.0189201175145628
12,R,1.0350803952368386
13,L,1.0380411358726895
13,R,1.0588381301019087
14,L,1.0219774842260445
14,R,1.0712686693331381
15,L,1.0345973867871279
15,R,1.0730495062878391
